"Name","Count","ContUpdate","MaxDeltaMin","Verdict"
"102017,  31809_focusCurve.txt","2","0","-612087","Write-once"
"102017,  57009_focusCurve.txt","2","0","-612087","Write-once"
"108317,  19209_focusCurve.txt","3","0","-662191","Write-once"
"108317,  50709_focusCurve.txt","3","0","-662191","Write-once"
"108317,  82209_focusCurve.txt","5","0","-612088","Write-once"
"108317, 126309_focusCurve.txt","3","0","-662191","Write-once"
"108317, 157809_focusCurve.txt","3","0","-612088","Write-once"
"108317, 183009_focusCurve.txt","3","0","-662191","Write-once"
"108317, 233409_focusCurve.txt","2","0","-612088","Write-once"
"108317, 290109_focusCurve.txt","3","0","-662191","Write-once"
"114617, 101109_focusCurve.txt","2","0","-612088","Write-once"
"114617, 214509_focusCurve.txt","3","0","-612088","Write-once"
"114617, 264909_focusCurve.txt","3","0","-662191","Write-once"
"114617, 283809_focusCurve.txt","2","0","-612087","Write-once"
"120917, 126309_focusCurve.txt","3","0","-612088","Write-once"
"120917, 189309_focusCurve.txt","3","0","-612088","Write-once"
"120917, 233409_focusCurve.txt","3","0","-662191","Write-once"
"120917, 264909_focusCurve.txt","2","0","-612087","Write-once"
"127217, 107409_focusCurve.txt","3","0","-662191","Write-once"
"127217, 201909_focusCurve.txt","3","0","-662191","Write-once"
"133517,  12909_focusCurve.txt","3","0","-662191","Write-once"
"133517,  25509_focusCurve.txt","2","0","-612087","Write-once"
"133517,  38109_focusCurve.txt","3","0","-662191","Write-once"
"133517,  44409_focusCurve.txt","2","0","-612087","Write-once"
"133517,  69609_focusCurve.txt","3","0","-662191","Write-once"
"133517, 138909_focusCurve.txt","6","0","-612088","Write-once"
"133517, 170409_focusCurve.txt","3","0","-662191","Write-once"
"133517, 176709_focusCurve.txt","3","0","-612088","Write-once"
"133517, 246009_focusCurve.txt","2","0","-612088","Write-once"
"133517, 296409_focusCurve.txt","3","0","-662191","Write-once"
"13817, 145209_focusCurve.txt","3","0","-662191","Write-once"
"13817, 170409_focusCurve.txt","3","0","-662191","Write-once"
"139817,  69609_focusCurve.txt","2","0","-612088","Write-once"
"139817, 227109_focusCurve.txt","3","0","-612088","Write-once"
"139817, 290109_focusCurve.txt","2","0","-612087","Write-once"
"146117,  12909_focusCurve.txt","3","0","-662191","Write-once"
"146117,  88509_focusCurve.txt","2","0","-612088","Write-once"
"146117, 107409_focusCurve.txt","3","0","-612088","Write-once"
"146117, 208209_focusCurve.txt","3","0","-612088","Write-once"
"146117, 239709_focusCurve.txt","3","0","-662191","Write-once"
"146117, 271209_focusCurve.txt","3","0","-662191","Write-once"
"152417,  94809_focusCurve.txt","3","0","-662191","Write-once"
"152417, 126309_focusCurve.txt","3","0","-662191","Write-once"
"152417, 151509_focusCurve.txt","3","0","-662191","Write-once"
"152417, 183009_focusCurve.txt","3","0","-662191","Write-once"
"152417, 214509_focusCurve.txt","3","0","-662191","Write-once"
"152417, 271209_focusCurve.txt","2","0","-612087","Write-once"
"152417, 296409_focusCurve.txt","3","0","-662191","Write-once"
"158717,  19209_focusCurve.txt","2","0","-612087","Write-once"
"158717, 157809_focusCurve.txt","3","0","-612088","Write-once"
"165017,  38109_focusCurve.txt","3","0","-662191","Write-once"
"165017,  44409_focusCurve.txt","2","0","-612087","Write-once"
"165017,  63309_focusCurve.txt","2","0","-612088","Write-once"
"165017,  69609_focusCurve.txt","3","0","-662191","Write-once"
"165017, 132609_focusCurve.txt","3","0","-612088","Write-once"
"165017, 183009_focusCurve.txt","3","0","-612088","Write-once"
"165017, 252309_focusCurve.txt","2","0","-612088","Write-once"
"171317,  12909_focusCurve.txt","3","0","-662191","Write-once"
"171317, 107409_focusCurve.txt","3","0","-612088","Write-once"
"171317, 208209_focusCurve.txt","3","0","-612088","Write-once"
"171317, 227109_focusCurve.txt","3","0","-612088","Write-once"
"171317, 290109_focusCurve.txt","2","0","-612087","Write-once"
"177617,  88509_focusCurve.txt","2","0","-612088","Write-once"
"177617, 138909_focusCurve.txt","3","0","-662191","Write-once"
"177617, 170409_focusCurve.txt","3","0","-662191","Write-once"
"177617, 239709_focusCurve.txt","3","0","-662191","Write-once"
"177617, 271209_focusCurve.txt","3","0","-662191","Write-once"
"177617, 296409_focusCurve.txt","3","0","-662191","Write-once"
