"Leaf","Hits","Files"
"config.ini","12","C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Forms\frmJobTab.cs; C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Forms\frmScanTab.cs; C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Modules\EFEMModule.cs; C:\CamtekGit\BIS\Sources\machine\EfemSrv\PreAligner.cpp; C:\CamtekGit\BIS\Sources\machine\EfemSrv\PreAligner.h; C:\CamtekGit\BIS\Sources\machine\KeyenceSensor\KeyenceSensor.Client\Utils\ESUIUtil.cs; C:\CamtekGit\BIS\Sources\machine\KeyenceSensor\KeyenceSensor.Service\Impl\KeyenceSensorConfigImpl.cs; C:\CamtekGit\BIS\Sources\machine\MachineConfiguration\MachineConfiguration\Machine\AutoLoader\PreAligner\ExternalSensor\ExternalSensorCfgUtil.cs; C:\CamtekGit\BIS\Sources\system\Camtek.JobTemplates\JobTemplates\ViewModels\NewJob\Common\NewJobDataLoader.cs; C:\CamtekGit\BIS\Sources\system\Camtek.JobTemplates\JobTemplates\ViewModels\NewJob\NewJobViewModel.cs; C:\CamtekGit\BIS\Sources\ToolManagement\SecsGemClient\E87Client.cpp; C:\CamtekGit\BIS\Sources\ToolManagement\SecsGemClient\stdafx.h"
"ProductInfo.ini","5","C:\CamtekGit\BIS\Sources\apps\DetectJobAvailability\FixIlluminationsUtils.cs; C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Forms\frmJobTab.cs; C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Forms\frmScanTab.cs; C:\CamtekGit\BIS\Sources\machine\KeyenceSensor\KeyenceSensor.Client\JobSelectionUserControl.cs; C:\CamtekGit\BIS\Sources\ToolManagement\NetTAC\SonyTac\SonyTac\SonyTacRmsHandler.cs"
"JobIllumLimits.ini","3","C:\CamtekGit\BIS\Sources\TestAutomationAPI\AOI_Main\Pages\JobSelectTab\NewJob.cs; C:\CamtekGit\BIS\Sources\Utilities\VCamInstaller\VCamInstaller\InstallData\VCamDataDeployer.cs; C:\CamtekGit\BIS\Sources\Utilities\VCamInstaller\VCamInstaller\Tests\VCamDataDeployerTests.cs"
"Bumps.dat","2","C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Forms\frmJobTab.cs; C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Forms\frmScanTab.cs"
"Recipe.ini","2","C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Forms\frmJobTab.cs; C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Forms\frmScanTab.cs"
"Waferinfo.ini","2","C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Forms\frmJobTab.cs; C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Forms\frmScanTab.cs"
"Zones.ini","2","C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Forms\frmJobTab.cs; C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Forms\frmScanTab.cs"
"OpticPreset.ini","2","C:\CamtekGit\BIS\Sources\apps\DetectJobAvailability\FixIlluminationsUtils.cs; C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Forms\frmJobTab.cs"
"OpticsPreset.ini","2","C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Forms\frmJobTab.cs; C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Forms\frmScanTab.cs"
"ProductionInfo.ini","1","C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Forms\frmScanTab.cs"
"Metadata.ini","1","C:\CamtekGit\BIS\Sources\ToolManagement\NetTAC\SonyTac\SonyTac\SonyTacRmsHandler.cs"
"MultiRecipe.ini","1","C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Forms\frmScanTab.cs"
"Alignment.ini","1","C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Forms\frmJobTab.cs"
"MultiLightChannels.ini","1","C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Forms\frmScanTab.cs"
"Scripts.ini","1","C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Forms\frmScanTab.cs"
"OpticToVCamStorage.json","1","C:\CamtekGit\BIS\Sources\Utilities\VCamInstaller\VCamInstaller\MainViewModel.cs"
"RDL.ini","1","C:\CamtekGit\BIS\Sources\tests\GSIV12CPUTester\GSIV12CPUTester.cpp"
"GlobalRTP.ini","1","C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Forms\frmScanTab.cs"
"ZoomLevels.ini","1","C:\CamtekGit\BIS\Sources\dds\ProcessingObjects\Signatures\ReferenceSig.cs"
"Scan Area.ini","1","C:\CamtekGit\BIS\Sources\tests\GSIV12CPUTester\GSIV12CPUTester.cpp"
"Die.ini","1","C:\CamtekGit\BIS\Sources\apps\Falcon.Net\Forms\frmScanTab.cs"
"DieAlignment.dat_block.ini","1","C:\CamtekGit\BIS\Sources\tests\CadUtilsTest\CadUtilsTest.cpp"
"Wafer2Table.ini","1","C:\CamtekGit\BIS\Sources\tests\MosaicBuilderTest\Program.cs"
"RecipesInfo.ini","1","C:\CamtekGit\BIS\Sources\Scripts\FocusMapScript\Program.cs"
