"FullPath","Ext","SizeBytes","LastModified","Created","First120","DeltaMin"
"C:\job\status.ini",".ini","75","2026-04-07 18:13","2025-12-02 14:18","[UC_PROGRAM] ProgramName=300mm ProductName=ValidationJob RecipeName=x5 ","181675"
"C:\job\Diced_10.0.4511\Metadata.ini",".ini","94","2026-03-03 15:44","2026-03-15 14:31","[General] name=Diced_10.0.4511 Id=46a4c3bf-4464-4070-b41b-4939a9842d63 Version=1 JobTag= ","-17207"
"C:\job\Diced_10.0.4511\.audit\manifest.json",".json","398","2026-05-12 12:57","2026-05-12 12:57","{   ""jobName"": ""Diced_10.0.4511"",   ""auditDbVersion"": ""1"",   ""created"": {     ""machine"": ""AMITA1"",     ""at"": ""2026-05-12","0"
"C:\job\Diced_10.0.4511\S1\DefaultWafer2Table.ini",".ini","1134","2026-03-03 14:10","2026-03-15 14:31","[WAFER ALIGNMENT] Wafer2Table_X=          0.9999922204        -0.0062656224    106355.7066746282 Wafer2Table_Y=         ","-17302"
"C:\job\Diced_10.0.4511\S1\DefectsClustering.ini",".ini","236","2026-04-26 21:37","2026-03-15 14:31","[General] Enabled=0 ClusteringAfterMerge=0 Distance=0 SelectedFirstSortingList=Priority SelectedSecondSortingList=Area S","60906"
"C:\job\Diced_10.0.4511\S1\DieAlignment.dat_block.ini",".ini","119","2026-03-03 19:03","2026-03-15 14:31","[General] IsMultiIndex=0 DieCount=1 [Die_0] Row=0 Col=0 PosX=0.000 PosY=0.000 SizeX=4117.000 SizeY=19645.000 ","-17009"
"C:\job\Diced_10.0.4511\S1\Metadata.ini",".ini","93","2026-03-03 19:03","2026-03-15 14:31","[General] name=S1 Id=f0e6ec38-de8f-4dc7-b0a4-c114aed4418a Version=1 LastActiveRecipe=R1 ","-17009"
"C:\job\Diced_10.0.4511\S1\MultiRecipe.ini",".ini","335","2026-04-27 16:29","2026-03-15 14:31","[Scan] MergingThreadCount=1 doSeparateRecipe=0 DoGrabAfterMerge=0 Recipes=0,1, FieldCount=8 RecipesPos=1,2, RecipesMerge","62038"
"C:\job\Diced_10.0.4511\S1\ProductionInfo.ini",".ini","155","2026-04-27 16:51","2026-03-15 14:31","[General] WaferDefectsCount=0 WaferDefectDiceRatio=0.0000 WaferDefectClassId=0 WaferDefectClassIdCount=0 BatchPassWafers","62060"
"C:\job\Diced_10.0.4511\S1\ScanCondition.ini",".ini","23","2026-03-03 13:59","2026-03-15 14:31","[General] IsActive=0 ","-17312"
"C:\job\Diced_10.0.4511\S1\Wafer2Table.ini",".ini","1134","2026-03-03 19:02","2026-03-15 14:31","[WAFER ALIGNMENT] Wafer2Table_X=          0.9999944815        -0.0062677412    106354.8850214472 Wafer2Table_Y=         ","-17010"
"C:\job\Diced_10.0.4511\S1\Recipes\R1\Alignment.ini",".ini","53","2026-04-06 19:02","2026-03-15 14:31","[WAFER ALIGNMENT] CoarseAlignDone=0 Rotate  w2t=0 ","31950"
