"Name","Count","Ext","MinSize","MaxSize","AvgSize","ContUpdate","Sample120","SamplePath"
"ZoomLevels.ini","360",".ini","77","361","129","0","[ZOOM_LEVELS] LEVEL_1=1 SaveCompressed=0 LEVEL_2=1 LEVEL_4=1 LEVEL_8=1 LEVEL_16=1 LEVEL_32=1 [LEVEL_1] SizeX=4116 SizeY=","C:\job\Diced_10.0.4511\S1\Recipes\R1\ZoomLevels.ini"
"zones.ini","159",".ini","23","632","113","0","[General] Version=11 [ALGName] 255=PostProcess 0=Scan Area [ALG] 255=PostProcess 0=Surface [BinCodes] 255=-1 0=-1 [Color","C:\job\Diced_10.0.4511\S1\Recipes\R1\zones.ini"
"zones.txt","153",".txt","170","530","211","0","ScaleX =    1.0000000000; ScaleY =    1.0000000000   RefID       X        Y  Zone Count      Shape Data       1   2058.0","C:\job\Diced_10.0.4511\S1\Recipes\R1\zones.txt"
"DieRegPos.txt","124",".txt","110","470","126","0","ScaleX =    1.0000000000; ScaleY =    1.0000000000   RefID       X        Y  Zone Count      Shape Data       1    112.0","C:\job\Diced_10.0.4511\S1\Recipes\R1\DieRegPos.txt"
"Metadata.ini","86",".ini","32","158","102","2","[General] name=Diced_10.0.4511 Id=46a4c3bf-4464-4070-b41b-4939a9842d63 Version=1 JobTag= ","C:\job\Diced_10.0.4511\Metadata.ini"
"AlignmentData.ini","76",".ini","31","1018","452","0","[General] MinScore=85 MinTargetScore=0 IsAffineEnabled=1 AlignPointsNum=8 ForceToGMF=0 [Point_0] X=104897.950491626 Y=12","C:\job\Diced_10.0.4511\S1\Recipes\R1\AlignmentData.ini"
"DieMapRegPos.txt","71",".txt","110","350","154","0","ScaleX =    1.0000000000; ScaleY =    1.0000000000   RefID       X        Y  Zone Count      Shape Data       1    116.0","C:\job\Diced_10.0.4511\S1\Recipes\R1\DieMapRegPos.txt"
"zonesInCad.txt","58",".txt","0","0","0","0","","C:\job\MPW_From_cad\300mm\Recipes\x5\Die_1\zonesInCad.txt"
"DieRegPosInCad.txt","58",".txt","0","0","0","0","","C:\job\MPW_From_cad\300mm\Recipes\x5\Die_1\DieRegPosInCad.txt"
"DieAlignment.dat_block.ini","57",".ini","116","6942","477","1","[General] IsMultiIndex=0 DieCount=1 [Die_0] Row=0 Col=0 PosX=0.000 PosY=0.000 SizeX=4117.000 SizeY=19645.000 ","C:\job\Diced_10.0.4511\S1\DieAlignment.dat_block.ini"
"OpticsPreset.ini","50",".ini","36","926","249","2","[RobotSetup] Name=PD_8_106448_ARC.cfg [Chuck] CenterX=158684.0625 CenterY=138935.140625 CenterZ=-377.3 ","C:\job\Diced_10.0.4511\S1\Recipes\R1\SW_QA-5\OpticsPreset.ini"
"Wafer2Table.ini","49",".ini","503","1290","1124","2","[WAFER ALIGNMENT] Wafer2Table_X=          0.9999944815        -0.0062677412    106354.8850214472 Wafer2Table_Y=         ","C:\job\Diced_10.0.4511\S1\Wafer2Table.ini"
"DefaultWafer2Table.ini","49",".ini","870","1290","1100","0","[WAFER ALIGNMENT] Wafer2Table_X=          0.9999922204        -0.0062656224    106355.7066746282 Wafer2Table_Y=         ","C:\job\Diced_10.0.4511\S1\DefaultWafer2Table.ini"
"WaferMapRecipe.ini","44",".ini","28","1608","1048","2","[GENERAL] SettingsPolicy=0 FiducialBin=-1 MappingCorner=0 [Input_Update] Enable=0 FileMask= ImportDirectory= UpdateDirec","C:\job\Diced_10.0.4511\S1\Recipes\R1\WaferMapRecipe.ini"
"PostProcess.ini","42",".ini","1347","4355","2084","0","[General] ZoneName=PostProcess ZoneID=255 TypeName=PostProcess AutoTH=0 AutoProbe=0 [Warp Direction Calculation] Enable=","C:\job\Diced_10.0.4511\S1\Recipes\R1\Zones\PostProcess.ini"
"Die.ini","42",".ini","764","1809","1058","0","[DIE] PixelSize_X=0.857650914714166 PixelSize_Y=0.857650914714166 FrameSizeX=1280 FrameSizeY=1280 Step_X=3708 Step_Y=169","C:\job\Diced_10.0.4511\S1\Recipes\R1\TrainData\Die.ini"
"ExternalCoordSystems.ini","42",".ini","33","33","33","0","[ExternalCoordSystems] Count=0 ","C:\job\Diced_10.0.4511\S1\Recipes\R1\ExternalCoordSystems.ini"
"ProductInfo.ini","42",".ini","2363","5618","3236","4","[AutoFocus] SearchUseDefault=1 ScanDelta=0 OnLimitViolationAction=0 FocusVAriationLimit=0 LimitFocusVariation=0 RetriesC","C:\job\Diced_10.0.4511\S1\Recipes\R1\ProductInfo.ini"
"CreateReference3dOptions.ini","42",".ini","307","415","336","0","[General] Version=0 Debug=0 [Registration] ReferenceRegBy=0 BigBlockRowsNumber=1000 YPartitionsNumber=3 MaxErrorPix=3 PS","C:\job\Diced_10.0.4511\S1\Recipes\R1\CreateReference3dOptions.ini"
"UniqueArea.ini","42",".ini","20","1121","89","0","[General] Count=0 UseGMF=0 TryAllModels=0 MinTargetScore=0 ImagePreprocessorId=306a7e84-3bae-4443-bedf-ea9321f61841 [306","C:\job\Diced_10.0.4511\S1\Recipes\R1\UniqueArea.ini"
"AlignRtp.ini","42",".ini","1092","2985","2855","1","[DIE Alignment] Die__MinModelSize=64 Die__MinScore=65 Die__ExtraScanLength_um=0.000000 Die__ExtraScanLength_X_um=0.00000","C:\job\Diced_10.0.4511\S1\Recipes\R1\AlignRtp.ini"
"Waferinfo.ini","42",".ini","219","725","460","4","[Robot] Rotation=90 SideUp=1 [General] key_minarea=0 hd_cmm=False hd_alignment=True hd_scan=True hd_robot=False hd_verif","C:\job\Diced_10.0.4511\S1\Recipes\R1\Waferinfo.ini"
"Alignment.ini","42",".ini","38","404","56","1","[WAFER ALIGNMENT] CoarseAlignDone=0 Rotate  w2t=0 ","C:\job\Diced_10.0.4511\S1\Recipes\R1\Alignment.ini"
"Recipe.ini","42",".ini","303","4975","3438","3","[AutoCycle] AutoFocusBeforeAlignment=0 AutoFocusEvery=1 ; None CleanReferenceEvery=3 ; Wafer UnloadToAnotherCassette=0 N","C:\job\Diced_10.0.4511\S1\Recipes\R1\Recipe.ini"
"WaferDataReadSettings.xml","42",".xml","195","195","195","0","<?xml version=""1.0""?> <WaferDataReadSettings xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www","C:\job\Diced_10.0.4511\S1\Recipes\R1\WaferDataReadSettings.xml"
"OpticPreset.ini","41",".ini","578","5004","2057","2","[IllumConversion] Executed=0 [General] Signature=1 [Scan2d] Id=d5ecdfdf-532b-4995-96f7-3d14b6fa5c0c FocusPosAboveChuck=3","C:\job\Diced_10.0.4511\S1\Recipes\R1\OpticPreset.ini"
"TransactionsHistory.ini","41",".ini","120","462","291","0","[DeprecatedInV0] Namespace.RuntimeEntities.RecipePartsCollection_Runtime|RecipePartsCollection|CleanReferenceParams=1 Na","C:\job\Diced_10.0.4511\S1\Recipes\R1\.dc_cache\TransactionsHistory.ini"
