"Module","Owner","PatternCount","FileCount","TopPriority","Patterns"
"Config","AOI_Main","1","25","P1","c:\job\**\Recipes\*\OpticToVCamStorage.json"
"Config","DataServer","3","108","P1","c:\job\**\Recipes\*\OpticPreset.ini; c:\job\**\Recipes\*\OpticLightMetadata\config.ini; c:\job\**\Recipes\*\JobIllumLimits.ini"
"Config","Falcon.Net","1","1","P1","c:\job\status.ini"
"Job","RMS","2","108","P1","c:\job\**\Metadata.ini; c:\job\**\ProductionInfo.ini"
"AlignmentData","AOI_Main","15","427","P1","c:\job\**\Recipes\*\WaferAlignData\Alignment_*.txt; c:\job\**\Wafer2Table.ini; c:\job\**\Recipes\*\Alignment.ini; c:\job\**\Recipes\*\WaferAlignData\AlignmentStatisticsTime.txt; c:\job\**\Recipes\*\TrainData\FrameToChuck.ini; c:\job\**\Recipes\*\WaferAlignData\AlignmentData.ini; c:\job\**\CurrWaferSurfaceInterpolation.*; c:\job\**\Wafer2Table_LastKnown.ini; c:\job\**\WaferAlignData\WaferManualAlign_*.txt; c:\job\**\DefaultWaferSurfaceInterpolation.*; c:\job\**\WaferAlignData\AlignmentNotFound_rtp.txt; c:\job\**\Recipes\*\FocusMapping\FocusPointsForScan.xml; c:\job\**\Recipes\*\FocusMapping\DieReferenceLocation.json; c:\job\**\Recipes\*\WLUP.txt; c:\job\**\WaferAlignData\WLUP_Align_*.txt"
"AlignmentData","RMS","5","153","P1","c:\job\**\DefaultWafer2Table.ini; c:\job\**\Recipes\*\AlignRtp.ini; c:\job\**\Recipes\*\AlignmentData.ini; c:\job\**\Recipes\*\Params_AlignRTP.ini; c:\job\**\Recipes\*\*\DefaultAlign.ini"
"Audit","FalconAuditService","1","24","P2","c:\job\**\.audit\manifest.json"
"Config","RMS","8","161","P1","c:\job\**\Recipes\*\ExternalCoordSystems.ini; c:\job\**\Recipes\*\WaferDataReadSettings.xml; c:\job\**\Recipes\*\*\OpticsPreset.ini; c:\job\**\Recipes\*\SW_QA-*\OpticsPreset.ini; c:\job\**\Recipes\*\Params_SystemInfo.ini; c:\job\**\Scripts.ini; c:\job\**\Recipes\*\TNESetup.ini; c:\job\**\MultiLightChannels.ini"
"DieMap","RMS","8","51","P2","c:\job\**\TrainData\ZonesVectorInfo.csv; c:\job\**\Recipes\*\DieMapRegPos.txt; c:\job\**\Recipes\*\DieRegPos.txt; c:\job\**\Recipes\*\DiceInstances.xml; c:\job\**\TrainData\DiceInCad.xml; c:\job\**\TrainData\ScanAreaVectorInfo.csv; c:\job\**\Recipes\*\DieMapping.txt; c:\job\**\Recipes\*\DieOffset.txt"
"Log","RMS","1","41","P2","c:\job\**\Recipes\*\.dc_cache\TransactionsHistory.ini"
"Recipe","AOI_Main","8","270","P1","c:\job\**\Recipes\*\TrainData\Die.ini; c:\job\**\Recipes\*\ProductInfo.ini; c:\job\**\Recipes\*\Waferinfo.ini; c:\job\**\Recipes\*\TrainData\DieImage\ZoomLevels.ini; c:\job\**\Recipes\*\TrainData\DieImage\DieImageToTable.ini; c:\job\**\Recipes\*\TrainData\DieRefToTrain.txt; c:\job\**\Recipes\*\FocusMapping\FocusMapping.ini; c:\job\**\Recipes\*\FocusMapping\Model_*\FocusModel.ini"
"Config","External tool","1","18","P3","c:\job\*\VcamInstallerGuid.txt"
